;Year;Player;Pos;Age;Tm;G;GS;MP;PER;TS%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;blanl;OWS;DWS;WS;WS/48;blank2;OBPM;DBPM;BPM;VORP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
0;1950;Curly Armstrong;G-F;31;FTW;63;;;;0.368;;0.467;;;;;;;;;;-0.1;3.6;3.5;;;;;;;144;516;0.279;;;;144;516;0.279;0.279;170;241;0.705;;;;176;;;;217;458
1;1950;Cliff Barker;SG;29;INO;49;;;;0.435;;0.387;;;;;;;;;;1.6;0.6;2.2;;;;;;;102;274;0.372;;;;102;274;0.372;0.372;75;106;0.708;;;;109;;;;99;279
2;1950;Leo Barnhorst;SF;25;CHS;67;;;;0.394;;0.259;;;;;;;;;;0.9;2.8;3.6;;;;;;;174;499;0.349;;;;174;499;0.349;0.349;90;129;0.698;;;;140;;;;192;438
3;1950;Ed Bartels;F;24;TOT;15;;;;0.312;;0.395;;;;;;;;;;-0.5;-0.1;-0.6;;;;;;;22;86;0.256;;;;22;86;0.256;0.256;19;34;0.559;;;;20;;;;29;63
4;1950;Ed Bartels;F;24;DNN;13;;;;0.308;;0.378;;;;;;;;;;-0.5;-0.1;-0.6;;;;;;;21;82;0.256;;;;21;82;0.256;0.256;17;31;0.548;;;;20;;;;27;59
5;1950;Ed Bartels;F;24;NYK;2;;;;0.376;;0.75;;;;;;;;;;0;0;0;;;;;;;1;4;0.25;;;;1;4;0.25;0.25;2;3;0.667;;;;0;;;;2;4
6;1950;Ralph Beard;G;22;INO;60;;;;0.422;;0.301;;;;;;;;;;3.6;1.2;4.8;;;;;;;340;936;0.363;;;;340;936;0.363;0.363;215;282;0.762;;;;233;;;;132;895
7;1950;Gene Berce;G-F;23;TRI;3;;;;0.275;;0.313;;;;;;;;;;-0.1;0;-0.1;;;;;;;5;16;0.313;;;;5;16;0.313;0.313;0;5;0;;;;2;;;;6;10
8;1950;Charlie Black;F-C;28;TOT;65;;;;0.346;;0.395;;;;;;;;;;-2.2;5;2.8;;;;;;;226;813;0.278;;;;226;813;0.278;0.278;209;321;0.651;;;;163;;;;273;661
9;1950;Charlie Black;F-C;28;FTW;36;;;;0.362;;0.48;;;;;;;;;;-0.7;2.2;1.5;;;;;;;125;435;0.287;;;;125;435;0.287;0.287;132;209;0.632;;;;75;;;;140;382
10;1950;Charlie Black;F-C;28;AND;29;;;;0.326;;0.296;;;;;;;;;;-1.5;2.8;1.3;;;;;;;101;378;0.267;;;;101;378;0.267;0.267;77;112;0.688;;;;88;;;;133;279
11;1950;Nelson Bobb;PG;25;PHW;57;;;;0.396;;0.528;;;;;;;;;;0.4;1.3;1.8;;;;;;;80;248;0.323;;;;80;248;0.323;0.323;82;131;0.626;;;;46;;;;97;242
12;1950;Jake Bornheimer;F-C;22;PHW;60;;;;0.356;;0.384;;;;;;;;;;-0.7;1.5;0.8;;;;;;;88;305;0.289;;;;88;305;0.289;0.289;78;117;0.667;;;;40;;;;111;254
13;1950;Vince Boryla;SF;22;NYK;59;;;;0.426;;0.445;;;;;;;;;;2.6;1.4;3.9;;;;;;;204;600;0.34;;;;204;600;0.34;0.34;204;267;0.764;;;;95;;;;203;612
14;1950;Don Boven;F-G;24;WAT;62;;;;0.461;;0.625;;;;;;;;;;4.4;-0.7;3.8;;;;;;;208;558;0.373;;;;208;558;0.373;0.373;240;349;0.688;;;;137;;;;255;656
15;1950;Harry Boykoff;C;27;WAT;61;;;;0.479;;0.375;;;;;;;;;;6;-0.7;5.3;;;;;;;288;698;0.413;;;;288;698;0.413;0.413;203;262;0.775;;;;149;;;;229;779
16;1950;Joe Bradley;G;21;CHS;46;;;;0.289;;0.284;;;;;;;;;;-1;0.7;-0.3;;;;;;;36;134;0.269;;;;36;134;0.269;0.269;15;38;0.395;;;;36;;;;51;87
17;1950;Bob Brannum;PF;24;SHE;59;;;;0.408;;0.494;;;;;;;;;;2.1;-0.5;1.6;;;;;;;234;718;0.326;;;;234;718;0.326;0.326;245;355;0.69;;;;205;;;;279;713
18;1950;Carl Braun;G-F;22;NYK;67;;;;0.434;;0.365;;;;;;;;;;5.2;1.9;7.2;;;;;;;373;1024;0.364;;;;373;1024;0.364;0.364;285;374;0.762;;;;247;;;;188;1031
19;1950;Frankie Brian;G;26;AND;64;;;;0.415;;0.422;;;;;;;;;;3.6;5.6;9.2;;;;;;;368;1156;0.318;;;;368;1156;0.318;0.318;402;488;0.824;;;;189;;;;192;1138
20;1950;Price Brookfield;F-G;29;ROC;7;;;;0.592;;0.565;;;;;;;;;;0.5;0.1;0.5;;;;;;;11;23;0.478;;;;11;23;0.478;0.478;12;13;0.923;;;;1;;;;7;34
21;1950;Bob Brown;F;26;DNN;62;;;;0.414;;0.33;;;;;;;;;;2.1;-0.9;1.2;;;;;;;276;764;0.361;;;;276;764;0.361;0.361;172;252;0.683;;;;101;;;;269;724
22;1950;Jim Browne;C;20;DNN;31;;;;0.392;;0.563;;;;;;;;;;0.1;-0.1;0;;;;;;;17;48;0.354;;;;17;48;0.354;0.354;13;27;0.481;;;;8;;;;16;47
23;1950;Walt Budko;PF;24;BLB;66;;;;0.388;;0.403;;;;;;;;;;0.7;2;2.7;;;;;;;198;652;0.304;;;;198;652;0.304;0.304;199;263;0.757;;;;146;;;;259;595
24;1950;Jack Burmaster;G;23;SHE;61;;;;0.378;;0.256;;;;;;;;;;0.1;-0.4;-0.4;;;;;;;237;711;0.333;;;;237;711;0.333;0.333;124;182;0.681;;;;179;;;;237;598
25;1950;Tommy Byrnes;F-G;26;BLB;53;;;;0.362;;0.312;;;;;;;;;;-0.5;0.9;0.3;;;;;;;120;397;0.302;;;;120;397;0.302;0.302;87;124;0.702;;;;88;;;;76;327
26;1950;Bill Calhoun;SG;22;ROC;62;;;;0.439;;0.37;;;;;;;;;;3;1.5;4.5;;;;;;;207;549;0.377;;;;207;549;0.377;0.377;146;203;0.719;;;;115;;;;100;560
27;1950;Don Carlson;G-F;30;MNL;57;;;;0.402;;0.328;;;;;;;;;;0.7;1.9;2.6;;;;;;;99;290;0.341;;;;99;290;0.341;0.341;69;95;0.726;;;;76;;;;126;267
28;1950;Bob Carpenter;F-C;32;FTW;66;;;;0.421;;0.415;;;;;;;;;;2.2;2.8;5;;;;;;;212;617;0.344;;;;212;617;0.344;0.344;190;256;0.742;;;;92;;;;168;614
29;1950;Jake Carter;F-C;25;TOT;24;;;;0.417;;0.707;;;;;;;;;;0.3;0.4;0.7;;;;;;;23;75;0.307;;;;23;75;0.307;0.307;36;53;0.679;;;;24;;;;59;82
30;1950;Jake Carter;F-C;25;DNN;13;;;;0.39;;0.578;;;;;;;;;;0.1;-0.1;0;;;;;;;13;45;0.289;;;;13;45;0.289;0.289;18;26;0.692;;;;16;;;;27;44
31;1950;Jake Carter;F-C;25;AND;11;;;;0.454;;0.9;;;;;;;;;;0.2;0.5;0.7;;;;;;;10;30;0.333;;;;10;30;0.333;0.333;18;27;0.667;;;;8;;;;32;38
32;1950;Al Cervi*;PG;32;SYR;56;;;;0.491;;0.803;;;;;;;;;;5.9;3.4;9.3;;;;;;;143;431;0.332;;;;143;431;0.332;0.332;287;346;0.829;;;;264;;;;223;573
33;1950;John Chaney;F-C;29;TOT;16;;;;0.354;;0.337;;;;;;;;;;-0.2;0.1;-0.1;;;;;;;25;86;0.291;;;;25;86;0.291;0.291;20;29;0.69;;;;20;;;;23;70
34;1950;John Chaney;F-C;29;TRI;6;;;;0.331;;0.324;;;;;;;;;;-0.1;0.1;0;;;;;;;10;37;0.27;;;;10;37;0.27;0.27;8;12;0.667;;;;15;;;;13;28
35;1950;John Chaney;F-C;29;SHE;10;;;;0.372;;0.347;;;;;;;;;;0;0;-0.1;;;;;;;15;49;0.306;;;;15;49;0.306;0.306;12;17;0.706;;;;5;;;;10;42
36;1950;Leroy Chollet;F;24;SYR;49;;;;0.385;;0.313;;;;;;;;;;0.1;0.8;0.9;;;;;;;61;179;0.341;;;;61;179;0.341;0.341;35;56;0.625;;;;37;;;;52;157
37;1950;Bill Closs;SF;28;AND;64;;;;0.372;;0.288;;;;;;;;;;-0.5;4.9;4.4;;;;;;;283;898;0.315;;;;283;898;0.315;0.315;186;259;0.718;;;;160;;;;190;752
38;1950;Paul Cloyd;G-F;29;TOT;7;;;;0.322;;0.308;;;;;;;;;;-0.1;0;-0.1;;;;;;;7;26;0.269;;;;7;26;0.269;0.269;5;8;0.625;;;;2;;;;5;19
39;1950;Paul Cloyd;G-F;29;BLB;3;;;;0.268;;0.375;;;;;;;;;;-0.1;0;-0.1;;;;;;;1;8;0.125;;;;1;8;0.125;0.125;3;3;1;;;;1;;;;4;5
40;1950;Paul Cloyd;G-F;29;WAT;4;;;;0.347;;0.278;;;;;;;;;;-0.1;0;-0.1;;;;;;;6;18;0.333;;;;6;18;0.333;0.333;2;5;0.4;;;;1;;;;1;14
41;1950;Jack Coleman;PF;25;ROC;68;;;;0.412;;0.183;;;;;;;;;;1.9;2.5;4.3;;;;;;;250;663;0.377;;;;250;663;0.377;0.377;90;121;0.744;;;;153;;;;223;590
42;1950;Bobby Cook;G-F;26;SHE;51;;;;0.42;;0.292;;;;;;;;;;2.1;-0.3;1.9;;;;;;;222;620;0.358;;;;222;620;0.358;0.358;143;181;0.79;;;;158;;;;114;587
43;1950;Ray Corley;G;22;SYR;60;;;;0.365;;0.33;;;;;;;;;;-0.3;1.6;1.2;;;;;;;117;370;0.316;;;;117;370;0.316;0.316;75;122;0.615;;;;109;;;;81;309
44;1950;Jack Cotton;F-C;25;DNN;54;;;;0.343;;0.485;;;;;;;;;;-1;-0.5;-1.5;;;;;;;97;332;0.292;;;;97;332;0.292;0.292;82;161;0.509;;;;65;;;;184;276
45;1950;Dillard Crocker;PF;25;DNN;53;;;;0.369;;0.377;;;;;;;;;;-0.9;-0.8;-1.7;;;;;;;245;840;0.292;;;;245;840;0.292;0.292;233;317;0.735;;;;85;;;;223;723
46;1950;Chink Crossin;G;26;PHW;64;;;;0.363;;0.176;;;;;;;;;;-0.6;2.7;2.1;;;;;;;185;574;0.322;;;;185;574;0.322;0.322;79;101;0.782;;;;148;;;;139;449
47;1950;Fran Curran;G;27;ROC;66;;;;0.579;;1.026;;;;;;;;;;5.5;1.1;6.6;;;;;;;98;235;0.417;;;;98;235;0.417;0.417;199;241;0.826;;;;71;;;;113;395
48;1950;Jimmy Darden;G;27;DNN;26;;;;0.379;;0.329;;;;;;;;;;0.1;-0.3;-0.2;;;;;;;78;243;0.321;;;;78;243;0.321;0.321;55;80;0.688;;;;67;;;;67;211
49;1950;Bob Davies*;PG;30;ROC;64;;;;0.43;;0.391;;;;;;;;;;4.7;2.9;7.7;;;;;;;317;887;0.357;;;;317;887;0.357;0.357;261;347;0.752;;;;294;;;;187;895
50;1950;Hook Dillon;F;26;WSC;22;;;;0.278;;0.4;;;;;;;;;;-0.5;0.2;-0.4;;;;;;;10;55;0.182;;;;10;55;0.182;0.182;16;22;0.727;;;;5;;;;19;36
51;1950;Earl Dodd;F;25;DNN;9;;;;0.257;;0.185;;;;;;;;;;-0.3;0;-0.3;;;;;;;6;27;0.222;;;;6;27;0.222;0.222;3;5;0.6;;;;6;;;;13;15
52;1950;Joe Dolhon;G;22;BLB;64;;;;0.401;;0.467;;;;;;;;;;1.4;1.6;3;;;;;;;143;458;0.312;;;;143;458;0.312;0.312;157;214;0.734;;;;155;;;;193;443
53;1950;Bob Doll;F-C;30;BOS;47;;;;0.397;;0.329;;;;;;;;;;0.7;0.9;1.6;;;;;;;120;347;0.346;;;;120;347;0.346;0.346;75;114;0.658;;;;108;;;;117;315
54;1950;Harry Donovan;G;23;NYK;45;;;;0.393;;0.385;;;;;;;;;;0.3;0.7;1;;;;;;;90;275;0.327;;;;90;275;0.327;0.327;73;106;0.689;;;;38;;;;107;253
55;1950;Andy Duncan;F-C;27;ROC;67;;;;0.461;;0.374;;;;;;;;;;2;1.4;3.4;;;;;;;125;289;0.433;;;;125;289;0.433;0.433;60;108;0.556;;;;42;;;;160;310
56;1950;Dike Eddleman;SF;27;TRI;64;;;;0.405;;0.287;;;;;;;;;;1.6;2.1;3.7;;;;;;;332;906;0.366;;;;332;906;0.366;0.366;162;260;0.623;;;;142;;;;254;826
57;1950;Gene Englund;F-C;32;TOT;46;;;;0.502;;0.701;;;;;;;;;;3.2;1;4.2;;;;;;;104;274;0.38;;;;104;274;0.38;0.38;152;192;0.792;;;;41;;;;167;360
58;1950;Gene Englund;F-C;32;BOS;24;;;;0.503;;0.716;;;;;;;;;;1.8;0.5;2.3;;;;;;;55;148;0.372;;;;55;148;0.372;0.372;86;106;0.811;;;;17;;;;97;196
59;1950;Gene Englund;F-C;32;TRI;22;;;;0.5;;0.683;;;;;;;;;;1.5;0.4;1.9;;;;;;;49;126;0.389;;;;49;126;0.389;0.389;66;86;0.767;;;;24;;;;70;164
60;1950;Bob Evans;G;24;INO;47;;;;0.324;;0.22;;;;;;;;;;-0.8;0.5;-0.3;;;;;;;56;200;0.28;;;;56;200;0.28;0.28;30;44;0.682;;;;55;;;;99;142
